PriceGroup,WidthInches,HeightInches,Price
7,60,96,590.94
7,66,96,647.22
7,72,96,702.66
7,84,96,815.64
7,96,96,929.04
8,24,36,60.90
8,30,36,70.14
8,36,36,79.80
8,42,36,90.30
8,48,36,99.54
8,54,36,111.72
8,60,36,121.80
8,66,36,132.30
8,72,36,143.64
8,84,36,165.90
8,96,36,187.32
8,24,42,65.10
8,30,42,75.60
8,36,42,86.94
8,42,42,99.12
8,48,42,109.62
8,54,42,122.22
8,60,42,134.82
8,66,42,146.58
8,72,42,158.34
8,84,42,183.54
8,96,42,207.90
8,24,48,69.72
8,30,48,81.48
8,36,48,93.24
8,42,48,106.26
8,48,48,117.60
8,54,48,133.14
8,60,48,144.90
8,66,48,159.18
8,72,48,173.04
8,84,48,199.50
8,96,48,226.38
8,24,54,76.02
8,30,54,89.04
8,36,54,102.90
8,42,54,116.34
8,48,54,129.36
8,54,54,144.90
8,60,54,159.60
8,66,54,175.56
8,72,54,189.84
8,84,54,219.24
8,96,54,248.64
8,24,60,81.90
8,30,60,95.76
8,36,60,111.72
8,42,60,126.00
8,48,60,139.02
8,54,60,157.50
8,60,60,173.04
8,66,60,189.42
8,72,60,204.96
8,84,60,236.88
8,96,60,269.64
8,24,66,87.78
8,30,66,103.32
8,36,66,119.28
8,42,66,135.24
8,48,66,151.20
8,54,66,168.84
8,60,66,185.64
8,66,66,203.70
8,72,66,220.50
8,84,66,255.36
8,96,66,290.22
8,24,72,93.66
8,30,72,109.62
8,36,72,127.26
8,42,72,144.48
8,48,72,161.28
8,54,72,180.60
8,60,72,199.50
8,66,72,217.98
8,72,72,236.46
8,84,72,272.58
8,96,72,311.22
8,24,78,98.28
8,30,78,115.92
8,36,78,134.40
8,42,78,152.46
8,48,78,173.04
8,54,78,191.52
8,60,78,212.10
8,66,78,231.84
8,72,78,252.00
8,84,78,291.48
8,96,78,331.80
8,24,84,102.48
8,30,84,121.38
8,36,84,141.96
8,42,84,160.44
8,48,84,181.02
8,54,84,201.60
8,60,84,223.02
8,66,84,244.44
8,72,84,264.18
8,84,84,305.34
8,96,84,349.02
8,24,90,107.10
8,30,90,127.68
8,36,90,148.68
8,42,90,169.26
8,48,90,190.68
8,54,90,213.78
8,60,90,234.78
8,66,90,257.46
8,72,90,280.56
8,84,90,324.24
8,96,90,368.76
8,24,96,111.72
8,30,96,133.56
8,36,96,154.98
8,42,96,176.82
8,48,96,199.50
8,54,96,223.02
8,60,96,246.96
8,66,96,270.48
8,72,96,293.16
8,84,96,339.78
8,96,96,386.82
9,24,36,86.94
9,30,36,99.54
9,36,36,112.98
9,42,36,126.84
9,48,36,139.02
9,54,36,154.98
9,60,36,169.26
9,66,36,184.38
9,72,36,199.50
9,84,36,229.32
9,96,36,260.82
9,24,42,94.92
9,30,42,107.94
9,36,42,123.48
9,42,42,139.44
9,48,42,154.56
9,54,42,173.46
9,60,42,188.16
9,66,42,204.96
9,72,42,221.76
9,84,42,256.62
9,96,42,290.64
9,24,48,102.48
9,30,48,118.44
9,36,48,136.08
9,42,48,154.56
9,48,48,170.94
9,54,48,191.10
9,60,48,209.16
9,66,48,229.74
